,siteID,latitude,longitude,Chla_2012-2023,Chla_2024,TP_2012-2023,TP_2024,Chla_All,TP_All
0,R116,41.938023,-71.433988,5.765722222222222,2.2375,84.16189908256881,36.275,5.18495283018868,80.084376
1,RMSD,41.877079,-71.382059,5.045613861386139,1.9375,84.53698165137615,37.5375,4.624846153846153,79.403448
2,RMSL,42.010928,-71.529008,5.314921348314607,1.9875,90.62113084112148,51.54025,4.912266666666667,86.1250650406504
3,UBWPAD2,42.206,-71.781,1.9162777777777777,1.5875,183.55197222222225,167.5375,1.9622169811320755,184.772685483871
4,W0680,42.228,-71.787,3.189539215686275,4.0375,60.800383333333336,33.3875,3.3956186440677967,59.87460294117647
5,W0767,42.153953,-71.652604,4.820090909090909,5.775,141.72603921568628,88.7625,4.791423076923077,135.47166101694916
6,W1242,42.177057,-71.688019,3.716969387755102,4.5875,132.2295981308411,81.8,3.7659912280701753,127.31273983739838
7,W1258,42.194,-71.766,2.3809464285714284,1.9625,156.7020569105691,106.2375,2.33371875,153.69894244604316
8,W1779,42.097166,-71.622263,8.296215686274511,8.6125,150.2151111111111,99.2875,7.996644067796611,145.60429032258065
